,date_time,NE,Success Ratio of Message Transfer,Number of Received Error Answer Messages,Number of Initiated Error Answer Messages,Peak Load of CPU Usage of the Main Processor(%),Peak Memory Usage of the Main Processor(%),Peak Load of CPU Usage(%),Mean Ratio of the CPU Usage(%),Mean Load of CPU Usage(%)
203,29/4/2020 12:30,vDRHXA,100,118719,603,24,79,53,6,4
204,29/4/2020 12:45,vDRKPA,100,121094,452,20,78,27,6,4
205,29/4/2020 12:45,vDRHXA,100,120859,545,24,79,53,6,4
206,29/4/2020 13:00,vDRKPA,100,122078,544,20,78,27,6,4
207,29/4/2020 13:00,vDRHXA,100,121778,617,24,79,53,7,4
208,29/4/2020 13:15,vDRKPA,100,121389,1006,20,78,28,6,4
209,29/4/2020 13:15,vDRHXA,100,121402,1091,24,79,53,7,4
210,29/4/2020 13:30,vDRKPA,100,122134,1455,20,78,27,6,4
211,29/4/2020 13:30,vDRHXA,100,122947,1574,24,79,53,7,4
212,29/4/2020 13:45,vDRKPA,100,122076,1344,20,78,28,6,4
213,29/4/2020 13:45,vDRHXA,100,122283,1458,24,79,53,7,4
214,29/4/2020 14:00,vDRKPA,100,122177,1186,20,78,28,6,4
215,29/4/2020 14:00,vDRHXA,100,122387,1310,24,79,53,7,4
216,29/4/2020 14:15,vDRKPA,100,124571,1401,20,78,28,6,4
217,29/4/2020 14:15,vDRHXA,100,124002,1524,25,79,53,7,4
218,29/4/2020 14:30,vDRKPA,100,122098,1277,20,78,28,6,4
219,29/4/2020 14:30,vDRHXA,100,121772,1414,24,79,53,7,4
220,29/4/2020 14:45,vDRKPA,100,121697,1318,21,78,28,6,4
221,29/4/2020 14:45,vDRHXA,100,122222,1410,24,79,53,7,4
222,29/4/2020 15:00,vDRKPA,100,123621,1342,20,78,28,6,4
223,29/4/2020 15:00,vDRHXA,100,124303,1466,24,79,54,7,4
224,29/4/2020 15:15,vDRKPA,100,124886,1582,21,78,29,6,4
225,29/4/2020 15:15,vDRHXA,100,124202,1660,24,79,53,7,4
226,29/4/2020 15:30,vDRKPA,100,125251,1620,21,78,28,6,4
227,29/4/2020 15:30,vDRHXA,100,125350,1763,25,79,53,7,4
228,29/4/2020 15:45,vDRKPA,100,124306,1705,21,78,28,6,4
229,29/4/2020 15:45,vDRHXA,100,123699,1838,25,79,53,7,4
230,29/4/2020 16:00,vDRKPA,100,123953,1843,20,78,28,6,4
231,29/4/2020 16:00,vDRHXA,100,123491,1943,25,79,54,7,4
232,29/4/2020 16:15,vDRKPA,100,123105,1537,21,78,29,6,4
233,29/4/2020 16:15,vDRHXA,100,124002,1646,24,79,54,7,4
234,29/4/2020 16:30,vDRKPA,100,123121,1454,20,78,29,6,4
235,29/4/2020 16:30,vDRHXA,100,124406,1562,24,79,54,7,4
236,29/4/2020 16:45,vDRKPA,100,123821,1448,21,78,29,6,4
237,29/4/2020 16:45,vDRHXA,100,124369,1534,26,79,54,7,4
238,29/4/2020 17:00,vDRKPA,100,124000,1354,21,78,29,6,4
239,29/4/2020 17:00,vDRHXA,100,123512,1450,25,79,54,7,4
240,29/4/2020 17:15,vDRKPA,100,122690,847,21,78,29,6,4
241,29/4/2020 17:15,vDRHXA,100,122639,948,25,79,54,7,4
242,29/4/2020 17:30,vDRKPA,100,124324,933,21,78,29,6,4
243,29/4/2020 17:30,vDRHXA,100,124762,1044,25,79,54,7,4
244,29/4/2020 17:45,vDRKPA,100,124028,1059,21,78,29,6,4
245,29/4/2020 17:45,vDRHXA,100,124869,1122,25,79,54,7,4
246,29/4/2020 18:00,vDRKPA,100,124633,981,21,78,30,6,4
247,29/4/2020 18:00,vDRHXA,100,124987,1065,25,79,54,7,4
248,29/4/2020 18:15,vDRKPA,100,123743,686,21,78,29,6,4
249,29/4/2020 18:15,vDRHXA,100,123569,759,25,79,54,7,4
250,29/4/2020 18:30,vDRKPA,100,123942,954,21,78,29,6,4
251,29/4/2020 18:30,vDRHXA,100,122878,1049,25,79,54,7,4
252,29/4/2020 18:45,vDRKPA,100,124368,1205,21,78,29,6,4
253,29/4/2020 18:45,vDRHXA,100,125320,1250,25,79,53,7,4
254,29/4/2020 19:00,vDRKPA,100,123009,1432,20,78,29,6,4
255,29/4/2020 19:00,vDRHXA,100,123873,1536,24,79,53,7,4
256,29/4/2020 19:15,vDRKPA,100,121633,1510,20,78,28,6,4
257,29/4/2020 19:15,vDRHXA,100,120855,1562,25,79,53,7,4
258,29/4/2020 19:30,vDRKPA,100,121197,1622,21,78,29,6,4
259,29/4/2020 19:30,vDRHXA,100,121948,1731,24,79,53,7,4
260,29/4/2020 19:45,vDRKPA,100,123423,1433,19,78,26,6,4
261,29/4/2020 19:45,vDRHXA,100,123400,1548,23,79,52,6,4
262,29/4/2020 20:00,vDRKPA,100,125770,1812,19,78,27,6,4
263,29/4/2020 20:00,vDRHXA,100,127026,1909,23,79,52,6,4
264,29/4/2020 20:15,vDRKPA,100,125658,2118,19,78,26,6,4
265,29/4/2020 20:15,vDRHXA,100,126000,2206,23,79,52,6,4
266,29/4/2020 20:30,vDRKPA,100,125724,2550,18,78,26,5,4
267,29/4/2020 20:30,vDRHXA,100,125893,2598,22,79,51,6,4
268,29/4/2020 20:45,vDRKPA,100,124813,2451,18,78,25,5,4
269,29/4/2020 20:45,vDRHXA,100,125696,2578,22,79,51,6,4
270,29/4/2020 21:00,vDRKPA,100,124854,2452,18,78,25,5,4
271,29/4/2020 21:00,vDRHXA,100,124880,2556,22,79,51,6,4
272,29/4/2020 21:15,vDRKPA,100,125331,3069,18,78,25,5,4
273,29/4/2020 21:15,vDRHXA,100,126016,3162,22,79,50,6,4
274,29/4/2020 21:30,vDRKPA,100,124296,3410,17,78,24,5,4
275,29/4/2020 21:30,vDRHXA,100,124672,3479,21,79,50,6,4
276,29/4/2020 21:45,vDRKPA,100,126605,3052,18,78,25,5,4
277,29/4/2020 21:45,vDRHXA,100,126077,3124,21,79,50,6,4
278,29/4/2020 22:00,vDRKPA,100,125151,3359,18,78,24,5,4
279,29/4/2020 22:00,vDRHXA,100,125240,3482,21,79,50,6,4
280,29/4/2020 22:15,vDRKPA,100,124903,2961,18,78,24,5,3
281,29/4/2020 22:15,vDRHXA,100,125769,3017,21,79,50,6,4
282,29/4/2020 22:30,vDRKPA,100,125252,2277,17,78,24,5,3
283,29/4/2020 22:30,vDRHXA,100,124880,2320,20,79,49,6,4
284,29/4/2020 22:45,vDRKPA,100,125577,2193,17,78,23,5,3
285,29/4/2020 22:45,vDRHXA,100,124759,2285,20,79,49,6,4
286,29/4/2020 23:00,vDRKPA,100,122030,1749,16,78,23,5,3
287,29/4/2020 23:00,vDRHXA,100,122473,1833,19,79,48,6,4
288,29/4/2020 23:15,vDRKPA,100,121057,1617,17,78,23,5,3
289,29/4/2020 23:15,vDRHXA,100,121144,1685,20,79,48,6,4
290,29/4/2020 23:30,vDRKPA,100,120295,1360,16,78,22,5,3
291,29/4/2020 23:30,vDRHXA,100,120508,1431,19,79,47,5,4
292,29/4/2020 23:45,vDRKPA,100,121104,1911,16,78,22,5,3
293,29/4/2020 23:45,vDRHXA,100,120929,1979,18,79,47,5,4
294,30/4/2020 0:00,vDRKPA,100,120479,1978,15,78,22,5,3
295,30/4/2020 0:00,vDRHXA,100,120556,2051,19,79,46,5,3
296,30/4/2020 0:15,vDRKPA,100,120747,2353,15,78,21,5,3
297,30/4/2020 0:15,vDRHXA,100,120537,2402,18,79,47,5,3
298,30/4/2020 0:30,vDRKPA,100,119526,2454,14,78,20,5,3
299,30/4/2020 0:30,vDRHXA,100,118744,2532,17,79,46,5,3
300,30/4/2020 0:45,vDRKPA,100,118493,2508,15,78,21,5,3
301,30/4/2020 0:45,vDRHXA,100,117353,2572,17,79,46,5,3
302,30/4/2020 1:00,vDRKPA,100,116383,2284,14,78,20,4,3
303,30/4/2020 1:00,vDRHXA,100,116519,2350,16,79,45,5,3
304,30/4/2020 1:15,vDRKPA,100,113909,2478,14,78,19,4,3
305,30/4/2020 1:15,vDRHXA,100,114251,2543,16,79,45,5,3
306,30/4/2020 1:30,vDRKPA,100,114418,2927,14,78,19,4,3
307,30/4/2020 1:30,vDRHXA,100,114070,3006,16,79,44,5,3
308,30/4/2020 1:45,vDRKPA,100,111922,2661,13,78,19,4,3
309,30/4/2020 1:45,vDRHXA,100,112511,2741,15,79,43,5,3
310,30/4/2020 2:00,vDRKPA,100,111694,2936,13,78,19,4,3
311,30/4/2020 2:00,vDRHXA,100,111980,2972,15,79,43,5,3
312,30/4/2020 2:15,vDRKPA,100,112393,2262,14,78,19,4,3
313,30/4/2020 2:15,vDRHXA,100,111849,2335,16,79,43,5,3
314,30/4/2020 2:30,vDRKPA,100,111098,1568,13,78,19,4,3
315,30/4/2020 2:30,vDRHXA,100,110699,1644,15,79,43,5,3
316,30/4/2020 2:45,vDRKPA,100,110471,1602,13,78,19,4,3
317,30/4/2020 2:45,vDRHXA,100,111740,1666,15,79,42,4,3
318,30/4/2020 3:00,vDRKPA,100,110954,1384,13,78,19,4,3
319,30/4/2020 3:00,vDRHXA,100,110810,1431,15,79,42,4,3
320,30/4/2020 3:15,vDRKPA,100,110237,1119,13,78,19,4,3
321,30/4/2020 3:15,vDRHXA,100,110213,1227,15,79,42,4,3
322,30/4/2020 3:30,vDRKPA,100,109273,1105,13,78,19,4,3
323,30/4/2020 3:30,vDRHXA,100,109958,1161,14,79,42,4,3
324,30/4/2020 3:45,vDRKPA,100,109078,890,13,78,18,4,3
325,30/4/2020 3:45,vDRHXA,100,109879,907,14,79,42,4,3
326,30/4/2020 4:00,vDRKPA,100,109648,1132,13,78,19,4,3
327,30/4/2020 4:00,vDRHXA,100,109879,1208,14,79,42,4,3
328,30/4/2020 4:15,vDRKPA,100,110760,1427,13,78,19,4,3
329,30/4/2020 4:15,vDRHXA,100,110571,1513,15,79,42,5,3
330,30/4/2020 4:30,vDRKPA,100,110518,1318,13,78,19,4,3
331,30/4/2020 4:30,vDRHXA,100,109910,1363,15,79,42,5,3
332,30/4/2020 4:45,vDRKPA,100,109252,1123,14,78,19,4,3
333,30/4/2020 4:45,vDRHXA,100,109575,1184,16,79,44,5,3
334,30/4/2020 5:00,vDRKPA,100,109987,1205,14,78,19,4,3
335,30/4/2020 5:00,vDRHXA,100,110404,1292,16,79,44,5,3
336,30/4/2020 5:15,vDRKPA,100,111335,1330,14,78,20,5,3
337,30/4/2020 5:15,vDRHXA,100,110424,1402,17,79,45,5,3
338,30/4/2020 5:30,vDRKPA,100,112294,1798,14,78,20,4,3
339,30/4/2020 5:30,vDRHXA,100,112235,1898,16,79,45,5,3
340,30/4/2020 5:45,vDRKPA,100,113238,2111,14,78,20,5,3
341,30/4/2020 5:45,vDRHXA,100,112177,2208,16,79,45,5,3
342,30/4/2020 6:00,vDRKPA,100,113519,2058,14,78,20,4,3
343,30/4/2020 6:00,vDRHXA,100,113528,2107,16,79,45,5,3
344,30/4/2020 6:15,vDRKPA,100,112750,1749,14,78,20,4,3
345,30/4/2020 6:15,vDRHXA,100,112434,1811,16,79,45,5,3
346,30/4/2020 6:30,vDRKPA,100,112790,1749,14,78,20,4,3
347,30/4/2020 6:30,vDRHXA,100,113370,1834,16,79,44,5,3
348,30/4/2020 6:45,vDRKPA,100,112265,1775,14,78,20,5,3
349,30/4/2020 6:45,vDRHXA,100,111872,1844,16,79,45,5,3
350,30/4/2020 7:00,vDRKPA,100,112542,1693,15,78,20,5,3
351,30/4/2020 7:00,vDRHXA,100,112779,1727,17,79,46,5,3
352,30/4/2020 7:15,vDRKPA,100,112509,1497,15,78,21,5,3
353,30/4/2020 7:15,vDRHXA,100,112620,1551,18,79,46,5,3
354,30/4/2020 7:30,vDRKPA,100,113844,1372,15,78,21,5,3
355,30/4/2020 7:30,vDRHXA,100,113189,1440,18,79,47,5,3
356,30/4/2020 7:45,vDRKPA,100,113515,906,16,78,22,5,3
357,30/4/2020 7:45,vDRHXA,100,113069,960,18,79,47,5,4
358,30/4/2020 8:00,vDRKPA,100,113867,816,16,78,22,5,3
359,30/4/2020 8:00,vDRHXA,100,114197,895,19,79,48,5,4
360,30/4/2020 8:15,vDRKPA,100,114651,837,16,78,23,5,3
361,30/4/2020 8:15,vDRHXA,100,114870,935,19,79,48,6,4
362,30/4/2020 8:30,vDRKPA,100,114653,813,16,78,24,5,3
363,30/4/2020 8:30,vDRHXA,100,114268,887,20,79,48,6,4
364,30/4/2020 8:45,vDRKPA,100,113133,841,17,78,23,5,3
365,30/4/2020 8:45,vDRHXA,100,113728,884,20,79,49,6,4
366,30/4/2020 9:00,vDRKPA,100,116118,816,17,78,24,5,3
